feature,importance
score,1191
qid_enc_count,1134
hour,839
uid_enc_count,719
u_inv_mean,614
u_inv_count,580
qid_enc,549
uid_enc,535
q_inv_mean,381
u_inv_std,379
wk,375
u_ans_count,348
u_word_count_min,312
uf_c3_count,305
u_word_count_sum,305
uf_c1,305
uf_c3,304
u_diff_qa_days_mean,301
uf_c4,298
q_inv_count,294
uf_c4_count,290
u_word_count_mean,282
u_diff_qa_days_min,276
u_inv_sum,275
u_diff_qa_days_std,250
u_diff_qa_days_sum,235
uf_c1_count,226
u_word_count_std,223
q_inv_std,219
u_word_count_max,213
u_reci_cheer_mean,193
u_diff_qa_days_max,193
freq_count,192
q_diff_qa_days_std,192
q_word_count_mean,189
q_word_count_min,187
u_reci_comment_std,185
u_reci_cheer_std,155
q_inv_sum,155
uf_c2,149
u_reci_comment_mean,147
q_word_count_sum,144
uf_c2_count,138
q_word_count_std,136
u_reci_tks_mean,136
q_diff_qa_days_mean,134
gender,129
u_reci_comment_sum,127
freq,124
q_word_count_max,121
u_reci_tks_std,118
u_reci_cheer_sum,113
u_reci_mark_std,107
q_reci_mark_mean,106
q_ans_count,105
q_reci_cheer_std,105
q_reci_cheer_mean,105
q_reci_comment_std,104
u_reci_mark_mean,103
q_diff_qa_days_max,101
u_reci_comment_max,100
q_reci_comment_mean,100
q_diff_qa_days_sum,98
u_reci_dis_std,98
u_reci_xxx_mean,96
u_reci_cheer_max,95
u_reci_dis_mean,94
q_reci_tks_mean,92
u_reci_xxx_std,85
q_reci_tks_std,79
q_reci_comment_sum,77
u_reci_dis_sum,74
q_diff_qa_days_min,73
u_reci_tks_sum,73
u_reci_no_help_std,71
q_reci_mark_std,70
u_reci_mark_sum,65
q_reci_dis_std,63
q_reci_xxx_mean,63
q_reci_cheer_sum,57
q_reci_dis_sum,51
uf_b4,50
q_reci_xxx_std,47
q_reci_dis_mean,47
q_reci_cheer_max,46
q_reci_comment_max,44
q_reci_tks_sum,43
u_reci_dis_max,42
u_reci_cheer_min,40
u_reci_tks_max,39
u_is_good_std,39
q_reci_mark_sum,36
u_reci_comment_min,32
uf_c5,27
q_reci_cheer_min,22
uf_b3,22
