i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 64===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 128===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 192===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 256===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 320===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 384===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 448===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 512===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 576===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 640===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 704===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 768===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 832===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 896===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 960===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1024===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1088===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1152===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1216===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1280===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1344===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1408===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1472===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1536===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1600===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1664===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1728===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
